,nama,unique_user_pertweet,url_pertweet,reply_pertweet,reply_user_pertweet,rt_pertweet,unique_rt_pertweet,verified_user_pertweet,duration,q1_reputation,q2_reputation,q3_reputation,mean_reputation,q1_rasio,q2_rasio,q3_rasio,mean_rasio,q1_umur_akun,q2_umur_akun,q3_umur_akun,mean_umur_akun,q1_follower_rate,q2_follower_rate,q3_follower_rate,mean_follower_rate,q1_following_rate,q2_following_rate,q3_following_rate,mean_following_rate,q1_status_rate,q2_status_rate,q3_status_rate,mean_status_rate,mean_number_in_uname,q1_follower,q2_follower,q3_follower,mean_follower,q1_following,q2_following,q3_following,mean_following,q1_status,q2_status,q3_status,mean_status,mean_mention,JAK_reputation,JAK_rasio,JAK_umur_akun,JAK_follower,JAK_following,JAK_status,JAK_follower_rate,JAK_following_rate,JAK_status_rate
58,#Ikatancintaep401,0.31,0.151,0.012,0.012,0.711,0.123,0.0,90.7,0.14970432617491441,0.36,0.5738161559888579,0.38342003716652384,0.18471337579617833,0.5882352941176471,1.344155844155844,2.6103556383333295,4.547275478316157,6.980827996315994,30.144399497137748,29.419564864059115,0.7699435040256464,3.9338503035215697,10.77568320575641,22.966016726872798,1.9249229029303054,6.082132100625665,17.93705249663999,21.223563098566935,100.53950474755194,275.77394036220187,953.2353470234915,840.3201533225298,2.670076726342711,11.0,28.0,189.0,161.211,26.0,92.0,170.0,168.09,1348.0,3612.0,10899.0,8821.467,0.755,0.4241118298139435,1.1594424683596658,25.59712401882159,178.0,144.0,9551.0,10.005739701730764,16.012129593709684,852.6958422759395
59,#Indihomedown,0.807,0.284,0.039,0.046,0.286,0.075,0.0,678.1666666666666,0.1295863087909382,0.33900855242318656,0.5296803652968036,0.37018092643082723,0.19008264462809918,0.5586670838548184,1.126111560226354,8.510754830705494,9.460561590358916,26.48320579249859,105.111642150991,52.01255729412653,0.5492319446214023,2.3789699237311615,10.059852548281281,32.80193993122934,1.5024148352935056,4.446133695061041,15.723172911555414,73.92615998621683,9.030439382271307,49.79930392166562,222.43198558488007,404.4178910147859,2.737012987012987,9.0,84.0,370.0,943.19,37.0,142.0,425.5,494.007,132.75,1065.5,6618.75,12242.52,0.568,0.40009405650586544,0.9360289155982549,95.65108056063208,361.0,388.5,6486.0,9.510620603659879,14.220758076261909,213.40154620260876
60,#Indonesiacare,0.956,0.921,0.004,0.002,0.001,0.001,0.003,109.8,0.019237883832778392,0.3333333333333333,0.4972503864788538,0.31610265136286175,0.32581521739130437,0.6410162002945508,1.0,554.9299761993524,3.620514966084177,4.66019722056807,5.626787054719353,11.033055261991068,0.0,0.6098507954591967,4.156880429346904,42.677398456297496,0.4057616516679704,1.7855245291574682,8.519930345746092,11.559744052050295,28.899780836948977,40.92291099466416,67.71852362664899,95.12519073905484,3.1450892857142856,0.0,3.0,22.0,2265.468,2.0,9.5,41.0,69.426,125.0,187.0,296.0,2476.958,0.005,0.47801250264607537,0.6741847826086956,2.0062720886351757,22.0,39.0,171.0,4.156880429346904,8.11416869407812,38.81874278970001
61,#Instagramdown,0.769,0.1,0.012,0.014,0.667,0.086,0.008,35.36666666666667,0.17084493964716807,0.38633686690223795,0.5554926387315968,0.3953886844187488,0.23065268065268066,0.6412581110310022,1.2442439519957467,61.61268068989485,8.314750169788262,20.62999316283778,57.35401451318872,38.54588454056017,1.4807459851059521,5.40126568276037,22.098191725543405,127.29057046099454,3.0377853515651765,9.293035063047096,37.78339037203249,179.11550087748006,45.48982297731202,163.66620952395735,597.3470133384395,848.5195084230639,3.0183150183150182,24.0,138.0,493.5,10478.826,69.0,201.0,546.5,594.03,453.5,3792.5,14218.0,18928.885,0.69,0.38464769908442875,1.013591271343066,49.03926434340046,469.5,477.5,13764.5,20.617445740437454,34.745605020467316,551.8571903611276
62,#Internationalcatday,0.935,0.068,0.007,0.005,0.867,0.089,0.005,28.15,0.21302381572097864,0.39335779271732446,0.5383967553247383,0.4015985069086152,0.2755974703252917,0.6516993087557603,1.1662434513678637,11.842670767049079,15.085954689160094,54.29679330247104,105.66959803342223,61.202178180326136,1.2802647057182202,3.9675937972744952,15.954975887933138,28.24277917366759,2.7949474729073285,7.372700516790817,18.837189025307936,24.887325605622035,191.9747643221159,657.5741468260678,1782.9578785990861,1662.831777216027,2.7372448979591835,56.0,181.0,575.25,1004.082,128.0,290.0,637.5,615.827,7136.25,26582.5,76358.0,64203.627,0.953,0.3253729396037597,0.890645981042572,90.58364334426214,519.25,509.5,69221.75,14.674711182214917,16.042241552400608,1590.9831142769704
63,#Internetshutdown,0.9420935412026726,0.133630289532294,0.026726057906458798,0.028953229398663696,0.5501113585746102,0.062360801781737196,0.0022271714922048997,12574.883333333333,0.16658119514409658,0.39105362515485814,0.5352769823244792,0.38997852542253497,0.2210953346855984,0.6492537313432836,1.126843657817109,12.866937950082196,11.876169029252255,29.711989294783603,92.37508299280616,50.27708374528337,0.9514297461500839,3.9777779979825945,14.009231983330222,51.41122204959547,2.45932952716109,6.136124832473243,20.288052461718898,218.60268445777615,14.76096063362525,89.46289232091394,473.87616293249215,909.9953733808779,2.9338842975206614,17.0,138.0,568.0,1433.2093541202673,77.0,212.0,500.0,610.4142538975501,306.0,2705.0,16634.0,33409.95991091314,0.6169265033407573,0.3686957871803826,0.9057483231315107,80.4989139635539,551.0,423.0,16328.0,13.05780223718014,17.82872293455781,459.1152022988669
64,#Islambersatumusnahkanpki,0.343,0.173,0.231,0.074,0.632,0.075,0.0,313.76666666666665,0.3516483516483517,0.45759938256999266,0.49958193979933113,0.4253066666368833,0.5485603819420969,0.8438320209973753,0.9983333333333333,1.2318030776391626,3.429002268660167,14.074982336697158,54.077159828363655,37.27582306770313,10.270803773880079,54.432692058357404,302.65541566563866,351.5231408104678,16.61882905819861,78.9590445253851,310.0111149624668,468.46164639265754,106.95421563206993,570.1264044066702,2093.0977579992864,1244.1456930135507,3.0018450184501844,189.0,875.0,1885.0,1182.56,308.0,1065.0,2049.0,1312.286,1422.5,5069.0,13645.0,16400.754,1.666,0.14793358815097946,0.4497729513912364,50.648157559703485,1696.0,1741.0,12222.5,292.3846118917586,293.3922859042682,1986.1435423672165
65,#Jkwetmajukankrakatausteel,0.121,0.124,0.047,0.022,0.849,0.088,0.0,24.416666666666668,0.46210801393728224,0.4955170352659892,0.5241379310344828,0.5115727155244045,0.8592233009708737,0.9822327509623927,1.1012658227848102,1.4772968784244234,13.72678587589828,29.131315533895666,91.03797505538557,47.376414294004064,36.42115220791758,59.304329728845154,316.6163151802197,273.34393784291393,42.393927806396945,42.39437148661408,330.93602532328714,276.50195512844834,303.8314836286179,744.6270176272715,838.5171206120601,1290.408935088681,2.1416083916083917,1061.0,1061.0,5457.0,3946.602,1235.0,1235.0,4907.0,3187.729,5003.0,21692.0,25303.0,26640.566,1.415,0.06202991709720057,0.24204252181393648,77.31118917948729,4396.0,3672.0,20300.0,280.1951629723021,288.5420975168902,534.6856369834422
66,#Jokowibohonglagi,0.381,0.106,0.331,0.114,0.513,0.106,0.0,179.23333333333332,0.4501347708894879,0.4932497589199614,0.5200076979150428,0.47305278739262074,0.8186797347938888,0.973384030418251,1.0832807830047837,1.4953416552766838,5.918435278540209,13.462481547647567,41.717222975146655,35.01879512432001,12.50431592533715,83.6711398756363,289.58002007688793,228.9080256064643,15.415159540748201,103.78678918651995,297.8735659573846,211.1614356264354,165.73855877144757,485.9255051555202,1307.4227347574656,879.8854988253585,2.977827050997783,435.0,1105.0,2554.0,1922.669,510.0,1154.0,2427.25,1679.92,2001.0,6886.0,14654.0,16823.707,1.141,0.06987292702555487,0.2646010482108949,35.798787696606446,2119.0,1917.25,12653.0,277.0757041515508,282.45840641663636,1141.684175986018
67,#Jokowimajukansdmpapua,0.08,0.071,0.038,0.019,0.869,0.028,0.0,61.81666666666667,0.45441544511977117,0.48936170212765956,0.5267659170098195,0.5172907393916334,0.8330058939096268,0.9583892617449664,1.1130434782608696,22.784948884741738,6.025702862557829,13.751762147370886,55.42910826749047,30.682462140450053,17.43083106447017,103.47890269264394,267.65653307349777,200.15997883252075,21.74537082175055,101.80524497767004,240.50197574692993,206.90583447292076,351.449988105215,1370.4097273163168,3196.563376860955,1892.7808970166616,1.5742971887550201,730.0,1616.0,2506.0,2514.608,744.0,1447.0,2537.0,2147.993,6888.5,11011.0,31430.0,39336.703,1.106,0.07235047189004828,0.2800375843512428,49.40340540493264,1776.0,1793.0,24541.5,250.2257020090276,218.75660492517937,2845.11338875574
